 2701: 0.135620, 0.135620 avg loss, 0.001000 rate, 3.282301 seconds, 86432 images, -1.000000 hours left
 2702: 0.125207, 0.134579 avg loss, 0.001000 rate, 3.426989 seconds, 86464 images, 3.338061 hours left
 2703: 0.200675, 0.141188 avg loss, 0.001000 rate, 3.237983 seconds, 86496 images, 3.336076 hours left
 2704: 0.076345, 0.134704 avg loss, 0.001000 rate, 3.420421 seconds, 86528 images, 3.333185 hours left
 2705: 0.154311, 0.136665 avg loss, 0.001000 rate, 3.305007 seconds, 86560 images, 3.331170 hours left
 2706: 0.096117, 0.132610 avg loss, 0.001000 rate, 3.416660 seconds, 86592 images, 3.329235 hours left
 2707: 0.138307, 0.133179 avg loss, 0.001000 rate, 3.437071 seconds, 86624 images, 3.330687 hours left
 2708: 0.096856, 0.129547 avg loss, 0.001000 rate, 3.398046 seconds, 86656 images, 3.334070 hours left
 2709: 0.244231, 0.141016 avg loss, 0.001000 rate, 3.325408 seconds, 86688 images, 3.338439 hours left
 2710: 0.126396, 0.139554 avg loss, 0.001000 rate, 3.305858 seconds, 86720 images, 3.338142 hours left
 2711: 0.208198, 0.146418 avg loss, 0.001000 rate, 1.682622 seconds, 86752 images, 3.334973 hours left
 2712: 0.263115, 0.158088 avg loss, 0.001000 rate, 1.625561 seconds, 86784 images, 3.318304 hours left
 2713: 0.114304, 0.153709 avg loss, 0.001000 rate, 1.555378 seconds, 86816 images, 3.311416 hours left
 2714: 0.126383, 0.150977 avg loss, 0.001000 rate, 1.592466 seconds, 86848 images, 3.304010 hours left
 2715: 0.140173, 0.149896 avg loss, 0.001000 rate, 1.727856 seconds, 86880 images, 3.298740 hours left
 2716: 0.148835, 0.149790 avg loss, 0.001000 rate, 1.621318 seconds, 86912 images, 3.294236 hours left
 2717: 0.095944, 0.144406 avg loss, 0.001000 rate, 1.542847 seconds, 86944 images, 3.297902 hours left
 2718: 0.172704, 0.147235 avg loss, 0.001000 rate, 1.743329 seconds, 86976 images, 3.285274 hours left
 2719: 0.215555, 0.154067 avg loss, 0.001000 rate, 1.696547 seconds, 87008 images, 3.278783 hours left
