 4601: 0.127057, 0.127057 avg loss, 0.001000 rate, 3.313675 seconds, 147232 images, -1.000000 hours left
 4602: 0.113748, 0.125726 avg loss, 0.001000 rate, 3.425411 seconds, 147264 images, 1.320695 hours left
 4603: 0.081037, 0.121257 avg loss, 0.001000 rate, 3.323995 seconds, 147296 images, 1.320791 hours left
 4604: 0.109704, 0.120102 avg loss, 0.001000 rate, 3.239147 seconds, 147328 images, 1.322334 hours left
 4605: 0.118076, 0.119899 avg loss, 0.001000 rate, 3.492032 seconds, 147360 images, 1.322098 hours left
 4606: 0.079086, 0.115818 avg loss, 0.001000 rate, 3.420379 seconds, 147392 images, 1.322409 hours left
 4607: 0.078847, 0.112121 avg loss, 0.001000 rate, 3.209333 seconds, 147424 images, 1.326476 hours left
 4608: 0.066730, 0.107582 avg loss, 0.001000 rate, 3.081511 seconds, 147456 images, 1.327953 hours left
 4609: 0.114535, 0.108277 avg loss, 0.001000 rate, 3.340296 seconds, 147488 images, 1.326588 hours left
 4610: 0.099119, 0.107361 avg loss, 0.001000 rate, 3.431761 seconds, 147520 images, 1.326229 hours left
 4611: 0.228399, 0.119465 avg loss, 0.001000 rate, 1.522192 seconds, 147552 images, 1.327943 hours left
 4612: 0.126613, 0.120180 avg loss, 0.001000 rate, 1.373787 seconds, 147584 images, 1.325100 hours left
 4613: 0.164534, 0.124615 avg loss, 0.001000 rate, 1.493938 seconds, 147616 images, 1.320899 hours left
 4614: 0.122508, 0.124404 avg loss, 0.001000 rate, 1.520080 seconds, 147648 images, 1.318633 hours left
 4615: 0.144756, 0.126439 avg loss, 0.001000 rate, 1.572279 seconds, 147680 images, 1.315630 hours left
 4616: 0.085310, 0.122327 avg loss, 0.001000 rate, 1.551018 seconds, 147712 images, 1.312396 hours left
 4617: 0.114693, 0.121563 avg loss, 0.001000 rate, 1.462670 seconds, 147744 images, 1.309840 hours left
 4618: 0.125045, 0.121911 avg loss, 0.001000 rate, 1.495621 seconds, 147776 images, 1.309146 hours left
 4619: 0.131176, 0.122838 avg loss, 0.001000 rate, 1.329223 seconds, 147808 images, 1.304117 hours left
 4620: 0.121689, 0.122723 avg loss, 0.001000 rate, 1.527979 seconds, 147840 images, 1.302305 hours left
 4621: 0.095858, 0.120036 avg loss, 0.001000 rate, 2.816555 seconds, 147872 images, 1.297958 hours left
 4622: 0.120879, 0.120121 avg loss, 0.001000 rate, 2.749938 seconds, 147904 images, 1.295768 hours left
 4623: 0.072360, 0.115345 avg loss, 0.001000 rate, 2.864600 seconds, 147936 images, 1.294938 hours left
 4624: 0.103678, 0.114178 avg loss, 0.001000 rate, 2.764562 seconds, 147968 images, 1.292981 hours left
 4625: 0.100376, 0.112798 avg loss, 0.001000 rate, 2.881369 seconds, 148000 images, 1.292774 hours left
 4626: 0.075433, 0.109061 avg loss, 0.001000 rate, 2.641238 seconds, 148032 images, 1.290852 hours left
 4627: 0.089483, 0.107104 avg loss, 0.001000 rate, 2.783873 seconds, 148064 images, 1.288025 hours left
 4628: 0.107155, 0.107109 avg loss, 0.001000 rate, 2.893344 seconds, 148096 images, 1.285762 hours left
 4629: 0.102710, 0.106669 avg loss, 0.001000 rate, 2.873569 seconds, 148128 images, 1.284639 hours left
 4630: 0.091300, 0.105132 avg loss, 0.001000 rate, 2.767739 seconds, 148160 images, 1.284889 hours left
 4631: 0.096321, 0.104251 avg loss, 0.001000 rate, 1.997014 seconds, 148192 images, 1.283688 hours left
 4632: 0.119184, 0.105744 avg loss, 0.001000 rate, 1.931299 seconds, 148224 images, 1.289839 hours left
 4633: 0.165008, 0.111670 avg loss, 0.001000 rate, 1.935196 seconds, 148256 images, 1.285560 hours left
 4634: 0.066273, 0.107131 avg loss, 0.001000 rate, 2.001670 seconds, 148288 images, 1.284261 hours left
 4635: 0.070806, 0.103498 avg loss, 0.001000 rate, 2.098443 seconds, 148320 images, 1.280221 hours left
